time, q0, q1, q2, q3, wx, wy, wz
0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.100000, 0.000100
0.010000, -0.000000, 0.000499, 0.000000, 1.000000, -0.000000, 0.099750, 0.000100
0.055000, -0.000000, 0.002731, 0.000003, 0.999996, -0.000001, 0.098634, 0.000099
0.257500, -0.000000, 0.012469, 0.000013, 0.999922, -0.000002, 0.093765, 0.000096
1.168750, -0.000002, 0.050653, 0.000053, 0.998716, -0.000007, 0.074663, 0.000082
2.473134, -0.000007, 0.092096, 0.000102, 0.995750, -0.000008, 0.053887, 0.000067
3.844069, -0.000012, 0.123185, 0.000142, 0.992384, -0.000007, 0.038250, 0.000053
5.316172, -0.000015, 0.146524, 0.000177, 0.989207, -0.000005, 0.026473, 0.000042
6.897485, -0.000017, 0.163604, 0.000206, 0.986526, -0.000003, 0.017829, 0.000032
8.601701, -0.000017, 0.175795, 0.000229, 0.984427, -0.000002, 0.011644, 0.000024
10.445923, -0.000017, 0.184256, 0.000248, 0.982878, -0.000001, 0.007343, 0.000018
12.451807, -0.000016, 0.189945, 0.000263, 0.981794, -0.000000, 0.004447, 0.000013
14.646852, -0.000015, 0.193631, 0.000275, 0.981074, -0.000000, 0.002569, 0.000009
17.066345, -0.000014, 0.195918, 0.000283, 0.980620, -0.000000, 0.001403, 0.000006
19.756261, -0.000014, 0.197265, 0.000289, 0.980350, -0.000000, 0.000716, 0.000004
22.777675, -0.000013, 0.198010, 0.000294, 0.980200, -0.000000, 0.000337, 0.000002
26.213669, -0.000012, 0.198390, 0.000297, 0.980123, -0.000000, 0.000143, 0.000001
30.180572, -0.000012, 0.198565, 0.000298, 0.980087, -0.000000, 0.000053, 0.000001
34.847019, -0.000012, 0.198637, 0.000300, 0.980073, -0.000000, 0.000017, 0.000000
40.467952, -0.000012, 0.198661, 0.000300, 0.980068, -0.000000, 0.000004, 0.000000
47.448448, -0.000012, 0.198668, 0.000300, 0.980067, -0.000000, 0.000001, 0.000000
56.466002, -0.000012, 0.198669, 0.000300, 0.980066, -0.000000, 0.000000, 0.000000
68.648484, -0.000012, 0.198669, 0.000300, 0.980066, -0.000000, 0.000000, 0.000000
78.800570, -0.000012, 0.198669, 0.000300, 0.980066, -0.000000, 0.000000, 0.000000
83.978659, -0.000012, 0.198669, 0.000300, 0.980066, -0.000000, 0.000000, 0.000000
92.618870, -0.000012, 0.198669, 0.000300, 0.980066, -0.000000, 0.000000, 0.000000
98.533738, -0.000012, 0.198669, 0.000300, 0.980066, -0.000000, 0.000000, 0.000000
106.363884, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, 0.000000, 0.000000
112.609572, -0.000011, 0.198669, 0.000300, 0.980066, -0.000000, 0.000000, 0.000000
119.767151, -0.000011, 0.198669, 0.000300, 0.980066, -0.000001, 0.000000, 0.000000
